"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Travel Time to Work (in Minutes)","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"City","Carrollton","AL","0112304","=""0112304""","37","2019-2023","2020","Census","United States"
"City","Castleberry","AL","0112496","=""0112496""","N/A","2019-2023","2020","Census","United States"
"City","Catherine","AL","0112544","=""0112544""","N/A","2019-2023","2020","Census","United States"
"City","Cedar Bluff","AL","0112760","=""0112760""","27","2019-2023","2020","Census","United States"
"City","Center Point","AL","0113264","=""0113264""","29","2019-2023","2020","Census","United States"
"City","Centre","AL","0113648","=""0113648""","N/A","2019-2023","2020","Census","United States"
"City","Centreville","AL","0113672","=""0113672""","28","2019-2023","2020","Census","United States"
"City","Chatom","AL","0114008","=""0114008""","N/A","2019-2023","2020","Census","United States"
"City","Chelsea","AL","0114104","=""0114104""","34","2019-2023","2020","Census","United States"
"City","Cherokee","AL","0114152","=""0114152""","N/A","2019-2023","2020","Census","United States"
"City","Chickasaw","AL","0114392","=""0114392""","21","2019-2023","2020","Census","United States"
"City","Childersburg","AL","0114464","=""0114464""","24","2019-2023","2020","Census","United States"
"City","Choccolocco","AL","0114728","=""0114728""","N/A","2019-2023","2020","Census","United States"
"City","Chunchula","AL","0114968","=""0114968""","N/A","2019-2023","2020","Census","United States"
"City","Citronelle","AL","0115064","=""0115064""","N/A","2019-2023","2020","Census","United States"
"City","Clanton","AL","0115136","=""0115136""","25","2019-2023","2020","Census","United States"
"City","Clay","AL","0115256","=""0115256""","35","2019-2023","2020","Census","United States"
"City","Clayhatchee","AL","0115304","=""0115304""","N/A","2019-2023","2020","Census","United States"
"City","Clayton","AL","0115376","=""0115376""","N/A","2019-2023","2020","Census","United States"
"City","Cleveland","AL","0115472","=""0115472""","N/A","2019-2023","2020","Census","United States"
"City","Clio","AL","0115640","=""0115640""","34","2019-2023","2020","Census","United States"
"City","Coaling","AL","0116000","=""0116000""","34","2019-2023","2020","Census","United States"
"City","Coats Bend","AL","0116080","=""0116080""","N/A","2019-2023","2020","Census","United States"
"City","Coffee Springs","AL","0116240","=""0116240""","N/A","2019-2023","2020","Census","United States"
"City","Coffeeville","AL","0116264","=""0116264""","N/A","2019-2023","2020","Census","United States"
"City","Coker","AL","0116312","=""0116312""","32","2019-2023","2020","Census","United States"
"City","Collinsville","AL","0116600","=""0116600""","N/A","2019-2023","2020","Census","United States"
"City","Colony","AL","0116684","=""0116684""","N/A","2019-2023","2020","Census","United States"
"City","Columbia","AL","0116744","=""0116744""","N/A","2019-2023","2020","Census","United States"
"City","Columbiana","AL","0116768","=""0116768""","32","2019-2023","2020","Census","United States"
"City","Concord","AL","0116936","=""0116936""","34","2019-2023","2020","Census","United States"
"City","Coosada","AL","0117176","=""0117176""","25","2019-2023","2020","Census","United States"
"City","Cordova","AL","0117368","=""0117368""","31","2019-2023","2020","Census","United States"
"City","Cottondale","AL","0117704","=""0117704""","N/A","2019-2023","2020","Census","United States"
"City","Cottonwood","AL","0117824","=""0117824""","25","2019-2023","2020","Census","United States"
"City","County Line","AL","0117968","=""0117968""","N/A","2019-2023","2020","Census","United States"
"City","Courtland","AL","0118040","=""0118040""","N/A","2019-2023","2020","Census","United States"
"City","Cowarts","AL","0118088","=""0118088""","23","2019-2023","2020","Census","United States"
"City","Creola","AL","0118304","=""0118304""","28","2019-2023","2020","Census","United States"
"City","Crossville","AL","0118856","=""0118856""","25","2019-2023","2020","Census","United States"
"City","Cuba","AL","0118952","=""0118952""","N/A","2019-2023","2020","Census","United States"
"City","Cullman","AL","0118976","=""0118976""","22","2019-2023","2020","Census","United States"
"City","Cullomburg","AL","0119024","=""0119024""","N/A","2019-2023","2020","Census","United States"
"City","Cusseta","AL","0119216","=""0119216""","N/A","2019-2023","2020","Census","United States"
"City","Dadeville","AL","0119336","=""0119336""","28","2019-2023","2020","Census","United States"
"City","Daleville","AL","0119360","=""0119360""","20","2019-2023","2020","Census","United States"
"City","Daphne","AL","0119648","=""0119648""","25","2019-2023","2020","Census","United States"
"City","Dauphin Island","AL","0119744","=""0119744""","N/A","2019-2023","2020","Census","United States"
"City","Daviston","AL","0119816","=""0119816""","N/A","2019-2023","2020","Census","United States"
"City","Dayton","AL","0119912","=""0119912""","N/A","2019-2023","2020","Census","United States"
"City","Deatsville","AL","0120008","=""0120008""","31","2019-2023","2020","Census","United States"
"City","Decatur","AL","0120104","=""0120104""","21","2019-2023","2020","Census","United States"
"City","Deer Park","AL","0120152","=""0120152""","N/A","2019-2023","2020","Census","United States"
"City","Delta","AL","0120272","=""0120272""","N/A","2019-2023","2020","Census","United States"
"City","Demopolis","AL","0120296","=""0120296""","N/A","2019-2023","2020","Census","United States"
"City","Detroit","AL","0120392","=""0120392""","N/A","2019-2023","2020","Census","United States"
"City","Dodge City","AL","0120955","=""0120955""","N/A","2019-2023","2020","Census","United States"
"City","Dora","AL","0121136","=""0121136""","32","2019-2023","2020","Census","United States"
"City","Dothan","AL","0121184","=""0121184""","21","2019-2023","2020","Census","United States"
"City","Double Springs","AL","0121280","=""0121280""","N/A","2019-2023","2020","Census","United States"
"City","Douglas","AL","0121328","=""0121328""","N/A","2019-2023","2020","Census","United States"
"City","Dozier","AL","0121448","=""0121448""","N/A","2019-2023","2020","Census","United States"
"City","Dunnavant","AL","0121890","=""0121890""","N/A","2019-2023","2020","Census","United States"
"City","Dutton","AL","0121952","=""0121952""","26","2019-2023","2020","Census","United States"
"City","Eagle Point","AL","0122088","=""0122088""","30","2019-2023","2020","Census","United States"
"City","East Brewton","AL","0122216","=""0122216""","18","2019-2023","2020","Census","United States"
"City","East Point","AL","0122504","=""0122504""","N/A","2019-2023","2020","Census","United States"
"City","Eclectic","AL","0122816","=""0122816""","N/A","2019-2023","2020","Census","United States"
"City","Edgewater","AL","0123032","=""0123032""","N/A","2019-2023","2020","Census","United States"
"City","Edwardsville","AL","0123176","=""0123176""","N/A","2019-2023","2020","Census","United States"
"City","Egypt","AL","0123224","=""0123224""","N/A","2019-2023","2020","Census","United States"
"City","Elba","AL","0123296","=""0123296""","N/A","2019-2023","2020","Census","United States"
"City","Elberta","AL","0123320","=""0123320""","27","2019-2023","2020","Census","United States"
"City","Eldridge","AL","0123344","=""0123344""","N/A","2019-2023","2020","Census","United States"
"City","Elkmont","AL","0123488","=""0123488""","N/A","2019-2023","2020","Census","United States"
"City","Elmore","AL","0123656","=""0123656""","N/A","2019-2023","2020","Census","United States"
"City","Emelle","AL","0123872","=""0123872""","N/A","2019-2023","2020","Census","United States"
"City","Emerald Mountain","AL","0123880","=""0123880""","N/A","2019-2023","2020","Census","United States"
"City","Enterprise","AL","0124184","=""0124184""","20","2019-2023","2020","Census","United States"
"City","Epes","AL","0124256","=""0124256""","N/A","2019-2023","2020","Census","United States"
"City","Equality","AL","0124280","=""0124280""","N/A","2019-2023","2020","Census","United States"
"City","Ethelsville","AL","0124472","=""0124472""","N/A","2019-2023","2020","Census","United States"
"City","Eufaula","AL","0124568","=""0124568""","22","2019-2023","2020","Census","United States"
"City","Eunola","AL","0124616","=""0124616""","N/A","2019-2023","2020","Census","United States"
"City","Eutaw","AL","0124664","=""0124664""","N/A","2019-2023","2020","Census","United States"
"City","Eva","AL","0124688","=""0124688""","29","2019-2023","2020","Census","United States"
"City","Evergreen","AL","0124808","=""0124808""","N/A","2019-2023","2020","Census","United States"
"City","Excel","AL","0124880","=""0124880""","N/A","2019-2023","2020","Census","United States"
"City","Fairfield","AL","0125120","=""0125120""","23","2019-2023","2020","Census","United States"
"City","Fairford","AL","0125216","=""0125216""","N/A","2019-2023","2020","Census","United States"
"City","Fairhope","AL","0125240","=""0125240""","23","2019-2023","2020","Census","United States"
"City","Fairview","AL","0125384","=""0125384""","29","2019-2023","2020","Census","United States"
"City","Falkville","AL","0125648","=""0125648""","N/A","2019-2023","2020","Census","United States"
"City","Faunsdale","AL","0125816","=""0125816""","N/A","2019-2023","2020","Census","United States"
"City","Fayette","AL","0125840","=""0125840""","N/A","2019-2023","2020","Census","United States"
"City","Fayetteville","AL","0125864","=""0125864""","N/A","2019-2023","2020","Census","United States"
"City","Fitzpatrick","AL","0126152","=""0126152""","N/A","2019-2023","2020","Census","United States"
"City","Five Points","AL","0126200","=""0126200""","N/A","2019-2023","2020","Census","United States"
"City","Flomaton","AL","0126824","=""0126824""","N/A","2019-2023","2020","Census","United States"
"City","Florala","AL","0126848","=""0126848""","40","2019-2023","2020","Census","United States"
"City","Florence","AL","0126896","=""0126896""","18","2019-2023","2020","Census","United States"
"City","Foley","AL","0126992","=""0126992""","25","2019-2023","2020","Census","United States"
"City","Forestdale","AL","0127088","=""0127088""","27","2019-2023","2020","Census","United States"
"City","Forkland","AL","0127376","=""0127376""","N/A","2019-2023","2020","Census","United States"
"City","Fort Deposit","AL","0127520","=""0127520""","N/A","2019-2023","2020","Census","United States"
"City","Fort Payne","AL","0127616","=""0127616""","19","2019-2023","2020","Census","United States"
"City","Fort Rucker","AL","0127640","=""0127640""","N/A","2019-2023","2020","Census","United States"
"City","Franklin","AL","0128024","=""0128024""","N/A","2019-2023","2020","Census","United States"
"City","Fredonia","AL","0128120","=""0128120""","N/A","2019-2023","2020","Census","United States"
"City","Frisco City","AL","0128312","=""0128312""","N/A","2019-2023","2020","Census","United States"
"City","Fruitdale","AL","0128408","=""0128408""","N/A","2019-2023","2020","Census","United States"
"City","Fruithurst","AL","0128432","=""0128432""","N/A","2019-2023","2020","Census","United States"
"City","Fulton","AL","0128504","=""0128504""","N/A","2019-2023","2020","Census","United States"
"City","Fultondale","AL","0128552","=""0128552""","26","2019-2023","2020","Census","United States"
"City","Fyffe","AL","0128672","=""0128672""","N/A","2019-2023","2020","Census","United States"
"City","Gadsden","AL","0128696","=""0128696""","19","2019-2023","2020","Census","United States"
"City","Gainesville","AL","0128768","=""0128768""","N/A","2019-2023","2020","Census","United States"
"City","Gallant","AL","0128816","=""0128816""","N/A","2019-2023","2020","Census","United States"
"City","Gantt","AL","0128936","=""0128936""","N/A","2019-2023","2020","Census","United States"
"City","Garden City","AL","0129032","=""0129032""","N/A","2019-2023","2020","Census","United States"
"City","Gardendale","AL","0129056","=""0129056""","25","2019-2023","2020","Census","United States"
"City","Gaylesville","AL","0129296","=""0129296""","N/A","2019-2023","2020","Census","United States"
"City","Geiger","AL","0129392","=""0129392""","N/A","2019-2023","2020","Census","United States"
"City","Geneva","AL","0129464","=""0129464""","N/A","2019-2023","2020","Census","United States"
"City","Georgiana","AL","0129560","=""0129560""","N/A","2019-2023","2020","Census","United States"
"City","Geraldine","AL","0129608","=""0129608""","20","2019-2023","2020","Census","United States"
"City","Gilbertown","AL","0129704","=""0129704""","N/A","2019-2023","2020","Census","United States"
"City","Glen Allen","AL","0129944","=""0129944""","N/A","2019-2023","2020","Census","United States"
"City","Glencoe","AL","0129992","=""0129992""","25","2019-2023","2020","Census","United States"
"City","Glenwood","AL","0130160","=""0130160""","N/A","2019-2023","2020","Census","United States"
"City","Goldville","AL","0130448","=""0130448""","N/A","2019-2023","2020","Census","United States"
"City","Good Hope","AL","0130496","=""0130496""","N/A","2019-2023","2020","Census","United States"
"City","Goodwater","AL","0130640","=""0130640""","N/A","2019-2023","2020","Census","United States"
"City","Gordo","AL","0130736","=""0130736""","N/A","2019-2023","2020","Census","United States"
"City","Gordon","AL","0130760","=""0130760""","N/A","2019-2023","2020","Census","United States"
"City","Gordonville","AL","0130808","=""0130808""","N/A","2019-2023","2020","Census","United States"
"City","Goshen","AL","0130880","=""0130880""","N/A","2019-2023","2020","Census","United States"
"City","Graham","AL","0131000","=""0131000""","N/A","2019-2023","2020","Census","United States"
"City","Grand Bay","AL","0131024","=""0131024""","N/A","2019-2023","2020","Census","United States"
"City","Grant","AL","0131096","=""0131096""","32","2019-2023","2020","Census","United States"
"City","Grayson Valley","AL","0131348","=""0131348""","27","2019-2023","2020","Census","United States"
"City","Graysville","AL","0131384","=""0131384""","30","2019-2023","2020","Census","United States"
"City","Greensboro","AL","0131720","=""0131720""","N/A","2019-2023","2020","Census","United States"
"City","Greenville","AL","0131912","=""0131912""","18","2019-2023","2020","Census","United States"
"City","Grimes","AL","0132056","=""0132056""","N/A","2019-2023","2020","Census","United States"
"City","Grove Hill","AL","0132080","=""0132080""","16","2019-2023","2020","Census","United States"
"City","Guin","AL","0132224","=""0132224""","N/A","2019-2023","2020","Census","United States"
"City","Gulfcrest","AL","0132248","=""0132248""","N/A","2019-2023","2020","Census","United States"
"City","Gulf Shores","AL","0132272","=""0132272""","22","2019-2023","2020","Census","United States"
"City","Guntersville","AL","0132416","=""0132416""","22","2019-2023","2020","Census","United States"
"City","Gurley","AL","0132440","=""0132440""","N/A","2019-2023","2020","Census","United States"
"City","Gu-Win","AL","0132536","=""0132536""","N/A","2019-2023","2020","Census","United States"
"City","Hackleburg","AL","0132560","=""0132560""","31","2019-2023","2020","Census","United States"
"City","Hackneyville","AL","0132584","=""0132584""","N/A","2019-2023","2020","Census","United States"
"City","Haleburg","AL","0132656","=""0132656""","N/A","2019-2023","2020","Census","United States"
"City","Haleyville","AL","0132704","=""0132704""","N/A","2019-2023","2020","Census","United States"
"City","Hamilton","AL","0132848","=""0132848""","26","2019-2023","2020","Census","United States"
"City","Hammondville","AL","0132896","=""0132896""","N/A","2019-2023","2020","Census","United States"
"City","Hanceville","AL","0132968","=""0132968""","N/A","2019-2023","2020","Census","United States"
"City","Hanover","AL","0133064","=""0133064""","N/A","2019-2023","2020","Census","United States"
"City","Harpersville","AL","0133256","=""0133256""","36","2019-2023","2020","Census","United States"
"City","Hartford","AL","0133424","=""0133424""","22","2019-2023","2020","Census","United States"
"City","Hartselle","AL","0133448","=""0133448""","25","2019-2023","2020","Census","United States"
"City","Harvest","AL","0133472","=""0133472""","N/A","2019-2023","2020","Census","United States"
"City","Hatton","AL","0133544","=""0133544""","N/A","2019-2023","2020","Census","United States"
"City","Hayden","AL","0133640","=""0133640""","35","2019-2023","2020","Census","United States"
"City","Hayneville","AL","0133712","=""0133712""","N/A","2019-2023","2020","Census","United States"
"City","Hazel Green","AL","0133808","=""0133808""","N/A","2019-2023","2020","Census","United States"
"City","Headland","AL","0133856","=""0133856""","24","2019-2023","2020","Census","United States"
"City","Heath","AL","0133904","=""0133904""","N/A","2019-2023","2020","Census","United States"
"City","Heflin","AL","0133976","=""0133976""","N/A","2019-2023","2020","Census","United States"
"City","Helena","AL","0134024","=""0134024""","31","2019-2023","2020","Census","United States"
"City","Henagar","AL","0134096","=""0134096""","26","2019-2023","2020","Census","United States"
"City","Highland Lake","AL","0134480","=""0134480""","N/A","2019-2023","2020","Census","United States"
"City","Highland Lakes","AL","0134490","=""0134490""","30","2019-2023","2020","Census","United States"
"City","Hillsboro","AL","0134816","=""0134816""","N/A","2019-2023","2020","Census","United States"
"City","Hissop","AL","0134984","=""0134984""","N/A","2019-2023","2020","Census","United States"
"City","Hobson","AL","0135130","=""0135130""","N/A","2019-2023","2020","Census","United States"
"City","Hobson City","AL","0135152","=""0135152""","23","2019-2023","2020","Census","United States"
"City","Hodges","AL","0135200","=""0135200""","N/A","2019-2023","2020","Census","United States"
"City","Hokes Bluff","AL","0135392","=""0135392""","30","2019-2023","2020","Census","United States"
"City","Hollins","AL","0135512","=""0135512""","N/A","2019-2023","2020","Census","United States"
"City","Hollis Crossroads","AL","0135536","=""0135536""","N/A","2019-2023","2020","Census","United States"
"City","Holly Pond","AL","0135560","=""0135560""","N/A","2019-2023","2020","Census","United States"
"City","Hollywood","AL","0135632","=""0135632""","19","2019-2023","2020","Census","United States"
"City","Holt","AL","0135704","=""0135704""","N/A","2019-2023","2020","Census","United States"
"City","Holtville","AL","0135752","=""0135752""","33","2019-2023","2020","Census","United States"
"City","Homewood","AL","0135800","=""0135800""","17","2019-2023","2020","Census","United States"
"City","Hoover","AL","0135896","=""0135896""","25","2019-2023","2020","Census","United States"
"City","Horn Hill","AL","0136088","=""0136088""","N/A","2019-2023","2020","Census","United States"
"City","Hueytown","AL","0136448","=""0136448""","28","2019-2023","2020","Census","United States"
"City","Huguley","AL","0136592","=""0136592""","N/A","2019-2023","2020","Census","United States"
"City","Huntsville","AL","0137000","=""0137000""","19","2019-2023","2020","Census","United States"
"City","Hurtsboro","AL","0137096","=""0137096""","N/A","2019-2023","2020","Census","United States"
"City","Hytop","AL","0137264","=""0137264""","34","2019-2023","2020","Census","United States"
"City","Ider","AL","0137312","=""0137312""","31","2019-2023","2020","Census","United States"
"City","Indian Springs Village","AL","0137465","=""0137465""","25","2019-2023","2020","Census","United States"
"City","Irondale","AL","0137864","=""0137864""","24","2019-2023","2020","Census","United States"
"City","Ivalee","AL","0138032","=""0138032""","N/A","2019-2023","2020","Census","United States"
"City","Jackson","AL","0138152","=""0138152""","N/A","2019-2023","2020","Census","United States"
"City","Jacksons' Gap","AL","0138248","=""0138248""","N/A","2019-2023","2020","Census","United States"
"City","Jacksonville","AL","0138272","=""0138272""","20","2019-2023","2020","Census","United States"
"City","Jasper","AL","0138416","=""0138416""","27","2019-2023","2020","Census","United States"
"City","Jemison","AL","0138608","=""0138608""","29","2019-2023","2020","Census","United States"
"City","Joppa","AL","0139064","=""0139064""","N/A","2019-2023","2020","Census","United States"
"City","Kansas","AL","0139280","=""0139280""","N/A","2019-2023","2020","Census","United States"
"City","Kellyton","AL","0139472","=""0139472""","N/A","2019-2023","2020","Census","United States"
"City","Kennedy","AL","0139520","=""0139520""","N/A","2019-2023","2020","Census","United States"
"City","Killen","AL","0139784","=""0139784""","26","2019-2023","2020","Census","United States"
"City","Kimberly","AL","0139856","=""0139856""","33","2019-2023","2020","Census","United States"
"City","Kinsey","AL","0140072","=""0140072""","N/A","2019-2023","2020","Census","United States"
"City","Kinston","AL","0140096","=""0140096""","N/A","2019-2023","2020","Census","United States"
"City","Ladonia","AL","0140648","=""0140648""","N/A","2019-2023","2020","Census","United States"
"City","La Fayette","AL","0140672","=""0140672""","N/A","2019-2023","2020","Census","United States"
"City","Lakeview","AL","0140888","=""0140888""","N/A","2019-2023","2020","Census","United States"
"City","Lake View","AL","0140928","=""0140928""","N/A","2019-2023","2020","Census","United States"
"City","Lanett","AL","0141296","=""0141296""","19","2019-2023","2020","Census","United States"
"City","Langston","AL","0141368","=""0141368""","N/A","2019-2023","2020","Census","United States"
"City","Leeds","AL","0141968","=""0141968""","27","2019-2023","2020","Census","United States"
"City","Leesburg","AL","0142016","=""0142016""","26","2019-2023","2020","Census","United States"
"City","Leighton","AL","0142160","=""0142160""","N/A","2019-2023","2020","Census","United States"
"City","Leroy","AL","0142304","=""0142304""","N/A","2019-2023","2020","Census","United States"
"City","Lester","AL","0142352","=""0142352""","N/A","2019-2023","2020","Census","United States"
"City","Level Plains","AL","0142472","=""0142472""","26","2019-2023","2020","Census","United States"
"City","Lexington","AL","0142640","=""0142640""","37","2019-2023","2020","Census","United States"
"City","Libertyville","AL","0142808","=""0142808""","N/A","2019-2023","2020","Census","United States"
"City","Lillian","AL","0142928","=""0142928""","N/A","2019-2023","2020","Census","United States"
"City","Lincoln","AL","0143120","=""0143120""","26","2019-2023","2020","Census","United States"
"City","Linden","AL","0143240","=""0143240""","N/A","2019-2023","2020","Census","United States"
"City","Lineville","AL","0143264","=""0143264""","N/A","2019-2023","2020","Census","United States"
"City","Lipscomb","AL","0143336","=""0143336""","N/A","2019-2023","2020","Census","United States"
"City","Lisman","AL","0143384","=""0143384""","47","2019-2023","2020","Census","United States"
"City","Littleville","AL","0143648","=""0143648""","N/A","2019-2023","2020","Census","United States"
"City","Livingston","AL","0143720","=""0143720""","N/A","2019-2023","2020","Census","United States"
"City","Loachapoka","AL","0143744","=""0143744""","N/A","2019-2023","2020","Census","United States"
"City","Lockhart","AL","0143816","=""0143816""","N/A","2019-2023","2020","Census","United States"
"City","Locust Fork","AL","0143888","=""0143888""","N/A","2019-2023","2020","Census","United States"
"City","Lookout Mountain","AL","0144160","=""0144160""","N/A","2019-2023","2020","Census","United States"
"City","Louisville","AL","0144344","=""0144344""","N/A","2019-2023","2020","Census","United States"
"City","Lowndesboro","AL","0144536","=""0144536""","N/A","2019-2023","2020","Census","United States"
"City","Loxley","AL","0144608","=""0144608""","27","2019-2023","2020","Census","United States"
"City","Luverne","AL","0144728","=""0144728""","23","2019-2023","2020","Census","United States"
"City","Lynn","AL","0144800","=""0144800""","N/A","2019-2023","2020","Census","United States"
"City","McCalla","AL","0145040","=""0145040""","27","2019-2023","2020","Census","United States"
"City","McDonald Chapel","AL","0145208","=""0145208""","N/A","2019-2023","2020","Census","United States"
