"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"City","Cherokee","AL","0114152","=""0114152""","54107","2019-2023","2020","Census","United States"
"City","Chickasaw","AL","0114392","=""0114392""","42854","2019-2023","2020","Census","United States"
"City","Childersburg","AL","0114464","=""0114464""","49178","2019-2023","2020","Census","United States"
"City","Choccolocco","AL","0114728","=""0114728""","76898","2019-2023","2020","Census","United States"
"City","Chunchula","AL","0114968","=""0114968""","N/A","2019-2023","2020","Census","United States"
"City","Citronelle","AL","0115064","=""0115064""","48926","2019-2023","2020","Census","United States"
"City","Clanton","AL","0115136","=""0115136""","49952","2019-2023","2020","Census","United States"
"City","Clay","AL","0115256","=""0115256""","86163","2019-2023","2020","Census","United States"
"City","Clayhatchee","AL","0115304","=""0115304""","53095","2019-2023","2020","Census","United States"
"City","Clayton","AL","0115376","=""0115376""","32625","2019-2023","2020","Census","United States"
"City","Cleveland","AL","0115472","=""0115472""","69087","2019-2023","2020","Census","United States"
"City","Clio","AL","0115640","=""0115640""","29781","2019-2023","2020","Census","United States"
"City","Coaling","AL","0116000","=""0116000""","83587","2019-2023","2020","Census","United States"
"City","Coats Bend","AL","0116080","=""0116080""","52089","2019-2023","2020","Census","United States"
"City","Coffee Springs","AL","0116240","=""0116240""","37917","2019-2023","2020","Census","United States"
"City","Coffeeville","AL","0116264","=""0116264""","31964","2019-2023","2020","Census","United States"
"City","Coker","AL","0116312","=""0116312""","69931","2019-2023","2020","Census","United States"
"City","Collinsville","AL","0116600","=""0116600""","31411","2019-2023","2020","Census","United States"
"City","Colony","AL","0116684","=""0116684""","43750","2019-2023","2020","Census","United States"
"City","Columbia","AL","0116744","=""0116744""","55417","2019-2023","2020","Census","United States"
"City","Columbiana","AL","0116768","=""0116768""","68125","2019-2023","2020","Census","United States"
"City","Concord","AL","0116936","=""0116936""","62431","2019-2023","2020","Census","United States"
"City","Coosada","AL","0117176","=""0117176""","65614","2019-2023","2020","Census","United States"
"City","Cordova","AL","0117368","=""0117368""","38190","2019-2023","2020","Census","United States"
"City","Cottondale","AL","0117704","=""0117704""","44250","2019-2023","2020","Census","United States"
"City","Cottonwood","AL","0117824","=""0117824""","35417","2019-2023","2020","Census","United States"
"City","County Line","AL","0117968","=""0117968""","70625","2019-2023","2020","Census","United States"
"City","Courtland","AL","0118040","=""0118040""","41406","2019-2023","2020","Census","United States"
"City","Cowarts","AL","0118088","=""0118088""","57734","2019-2023","2020","Census","United States"
"City","Creola","AL","0118304","=""0118304""","68594","2019-2023","2020","Census","United States"
"City","Crossville","AL","0118856","=""0118856""","48464","2019-2023","2020","Census","United States"
"City","Cuba","AL","0118952","=""0118952""","75074","2019-2023","2020","Census","United States"
"City","Cullman","AL","0118976","=""0118976""","63704","2019-2023","2020","Census","United States"
"City","Cullomburg","AL","0119024","=""0119024""","N/A","2019-2023","2020","Census","United States"
"City","Cusseta","AL","0119216","=""0119216""","78977","2019-2023","2020","Census","United States"
"City","Dadeville","AL","0119336","=""0119336""","57240","2019-2023","2020","Census","United States"
"City","Daleville","AL","0119360","=""0119360""","45522","2019-2023","2020","Census","United States"
"City","Daphne","AL","0119648","=""0119648""","86479","2019-2023","2020","Census","United States"
"City","Dauphin Island","AL","0119744","=""0119744""","64615","2019-2023","2020","Census","United States"
"City","Daviston","AL","0119816","=""0119816""","66000","2019-2023","2020","Census","United States"
"City","Dayton","AL","0119912","=""0119912""","N/A","2019-2023","2020","Census","United States"
"City","Deatsville","AL","0120008","=""0120008""","112176","2019-2023","2020","Census","United States"
"City","Decatur","AL","0120104","=""0120104""","59831","2019-2023","2020","Census","United States"
"City","Deer Park","AL","0120152","=""0120152""","N/A","2019-2023","2020","Census","United States"
"City","Delta","AL","0120272","=""0120272""","N/A","2019-2023","2020","Census","United States"
"City","Demopolis","AL","0120296","=""0120296""","41457","2019-2023","2020","Census","United States"
"City","Detroit","AL","0120392","=""0120392""","16250","2019-2023","2020","Census","United States"
"City","Dodge City","AL","0120955","=""0120955""","58750","2019-2023","2020","Census","United States"
"City","Dora","AL","0121136","=""0121136""","61276","2019-2023","2020","Census","United States"
"City","Dothan","AL","0121184","=""0121184""","55052","2019-2023","2020","Census","United States"
"City","Double Springs","AL","0121280","=""0121280""","32250","2019-2023","2020","Census","United States"
"City","Douglas","AL","0121328","=""0121328""","56406","2019-2023","2020","Census","United States"
"City","Dozier","AL","0121448","=""0121448""","45882","2019-2023","2020","Census","United States"
"City","Dunnavant","AL","0121890","=""0121890""","72813","2019-2023","2020","Census","United States"
"City","Dutton","AL","0121952","=""0121952""","72083","2019-2023","2020","Census","United States"
"City","Eagle Point","AL","0122088","=""0122088""","146125","2019-2023","2020","Census","United States"
"City","East Brewton","AL","0122216","=""0122216""","43070","2019-2023","2020","Census","United States"
"City","East Point","AL","0122504","=""0122504""","N/A","2019-2023","2020","Census","United States"
"City","Eclectic","AL","0122816","=""0122816""","49250","2019-2023","2020","Census","United States"
"City","Edgewater","AL","0123032","=""0123032""","129542","2019-2023","2020","Census","United States"
"City","Edwardsville","AL","0123176","=""0123176""","88958","2019-2023","2020","Census","United States"
"City","Egypt","AL","0123224","=""0123224""","37153","2019-2023","2020","Census","United States"
"City","Elba","AL","0123296","=""0123296""","41310","2019-2023","2020","Census","United States"
"City","Elberta","AL","0123320","=""0123320""","57996","2019-2023","2020","Census","United States"
"City","Eldridge","AL","0123344","=""0123344""","N/A","2019-2023","2020","Census","United States"
"City","Elkmont","AL","0123488","=""0123488""","47500","2019-2023","2020","Census","United States"
"City","Elmore","AL","0123656","=""0123656""","33958","2019-2023","2020","Census","United States"
"City","Emelle","AL","0123872","=""0123872""","N/A","2019-2023","2020","Census","United States"
"City","Emerald Mountain","AL","0123880","=""0123880""","125341","2019-2023","2020","Census","United States"
"City","Enterprise","AL","0124184","=""0124184""","68306","2019-2023","2020","Census","United States"
"City","Epes","AL","0124256","=""0124256""","15156","2019-2023","2020","Census","United States"
"City","Equality","AL","0124280","=""0124280""","N/A","2019-2023","2020","Census","United States"
"City","Ethelsville","AL","0124472","=""0124472""","68571","2019-2023","2020","Census","United States"
"City","Eufaula","AL","0124568","=""0124568""","45550","2019-2023","2020","Census","United States"
"City","Eunola","AL","0124616","=""0124616""","N/A","2019-2023","2020","Census","United States"
"City","Eutaw","AL","0124664","=""0124664""","31583","2019-2023","2020","Census","United States"
"City","Eva","AL","0124688","=""0124688""","99250","2019-2023","2020","Census","United States"
"City","Evergreen","AL","0124808","=""0124808""","38098","2019-2023","2020","Census","United States"
"City","Excel","AL","0124880","=""0124880""","66167","2019-2023","2020","Census","United States"
"City","Fairfield","AL","0125120","=""0125120""","48492","2019-2023","2020","Census","United States"
"City","Fairford","AL","0125216","=""0125216""","94309","2019-2023","2020","Census","United States"
"City","Fairhope","AL","0125240","=""0125240""","86509","2019-2023","2020","Census","United States"
"City","Fairview","AL","0125384","=""0125384""","46750","2019-2023","2020","Census","United States"
"City","Falkville","AL","0125648","=""0125648""","43145","2019-2023","2020","Census","United States"
"City","Faunsdale","AL","0125816","=""0125816""","79773","2019-2023","2020","Census","United States"
"City","Fayette","AL","0125840","=""0125840""","38009","2019-2023","2020","Census","United States"
"City","Fayetteville","AL","0125864","=""0125864""","73342","2019-2023","2020","Census","United States"
"City","Fitzpatrick","AL","0126152","=""0126152""","N/A","2019-2023","2020","Census","United States"
"City","Five Points","AL","0126200","=""0126200""","N/A","2019-2023","2020","Census","United States"
"City","Flomaton","AL","0126824","=""0126824""","36250","2019-2023","2020","Census","United States"
"City","Florala","AL","0126848","=""0126848""","34857","2019-2023","2020","Census","United States"
"City","Florence","AL","0126896","=""0126896""","50396","2019-2023","2020","Census","United States"
"City","Foley","AL","0126992","=""0126992""","67346","2019-2023","2020","Census","United States"
"City","Forestdale","AL","0127088","=""0127088""","57145","2019-2023","2020","Census","United States"
"City","Forkland","AL","0127376","=""0127376""","29200","2019-2023","2020","Census","United States"
"City","Fort Deposit","AL","0127520","=""0127520""","20156","2019-2023","2020","Census","United States"
"City","Fort Payne","AL","0127616","=""0127616""","48623","2019-2023","2020","Census","United States"
"City","Fort Rucker","AL","0127640","=""0127640""","75875","2019-2023","2020","Census","United States"
"City","Franklin","AL","0128024","=""0128024""","83480","2019-2023","2020","Census","United States"
"City","Fredonia","AL","0128120","=""0128120""","50294","2019-2023","2020","Census","United States"
"City","Frisco City","AL","0128312","=""0128312""","35602","2019-2023","2020","Census","United States"
"City","Fruitdale","AL","0128408","=""0128408""","N/A","2019-2023","2020","Census","United States"
"City","Fruithurst","AL","0128432","=""0128432""","55417","2019-2023","2020","Census","United States"
"City","Fulton","AL","0128504","=""0128504""","59038","2019-2023","2020","Census","United States"
"City","Fultondale","AL","0128552","=""0128552""","69127","2019-2023","2020","Census","United States"
"City","Fyffe","AL","0128672","=""0128672""","32407","2019-2023","2020","Census","United States"
"City","Gadsden","AL","0128696","=""0128696""","38699","2019-2023","2020","Census","United States"
"City","Gainesville","AL","0128768","=""0128768""","N/A","2019-2023","2020","Census","United States"
"City","Gallant","AL","0128816","=""0128816""","53698","2019-2023","2020","Census","United States"
"City","Gantt","AL","0128936","=""0128936""","N/A","2019-2023","2020","Census","United States"
"City","Garden City","AL","0129032","=""0129032""","55313","2019-2023","2020","Census","United States"
"City","Gardendale","AL","0129056","=""0129056""","81215","2019-2023","2020","Census","United States"
"City","Gaylesville","AL","0129296","=""0129296""","36875","2019-2023","2020","Census","United States"
"City","Geiger","AL","0129392","=""0129392""","39583","2019-2023","2020","Census","United States"
"City","Geneva","AL","0129464","=""0129464""","48798","2019-2023","2020","Census","United States"
"City","Georgiana","AL","0129560","=""0129560""","25469","2019-2023","2020","Census","United States"
"City","Geraldine","AL","0129608","=""0129608""","62768","2019-2023","2020","Census","United States"
"City","Gilbertown","AL","0129704","=""0129704""","66300","2019-2023","2020","Census","United States"
"City","Glen Allen","AL","0129944","=""0129944""","46094","2019-2023","2020","Census","United States"
"City","Glencoe","AL","0129992","=""0129992""","66050","2019-2023","2020","Census","United States"
"City","Glenwood","AL","0130160","=""0130160""","40114","2019-2023","2020","Census","United States"
"City","Goldville","AL","0130448","=""0130448""","63125","2019-2023","2020","Census","United States"
"City","Good Hope","AL","0130496","=""0130496""","88068","2019-2023","2020","Census","United States"
"City","Goodwater","AL","0130640","=""0130640""","36938","2019-2023","2020","Census","United States"
"City","Gordo","AL","0130736","=""0130736""","46863","2019-2023","2020","Census","United States"
"City","Gordon","AL","0130760","=""0130760""","41458","2019-2023","2020","Census","United States"
"City","Gordonville","AL","0130808","=""0130808""","46875","2019-2023","2020","Census","United States"
"City","Goshen","AL","0130880","=""0130880""","49013","2019-2023","2020","Census","United States"
"City","Graham","AL","0131000","=""0131000""","58056","2019-2023","2020","Census","United States"
"City","Grand Bay","AL","0131024","=""0131024""","62318","2019-2023","2020","Census","United States"
"City","Grant","AL","0131096","=""0131096""","88571","2019-2023","2020","Census","United States"
"City","Grayson Valley","AL","0131348","=""0131348""","60354","2019-2023","2020","Census","United States"
"City","Graysville","AL","0131384","=""0131384""","61250","2019-2023","2020","Census","United States"
"City","Greensboro","AL","0131720","=""0131720""","31207","2019-2023","2020","Census","United States"
"City","Greenville","AL","0131912","=""0131912""","40744","2019-2023","2020","Census","United States"
"City","Grimes","AL","0132056","=""0132056""","32500","2019-2023","2020","Census","United States"
"City","Grove Hill","AL","0132080","=""0132080""","49223","2019-2023","2020","Census","United States"
"City","Guin","AL","0132224","=""0132224""","47358","2019-2023","2020","Census","United States"
"City","Gulfcrest","AL","0132248","=""0132248""","63875","2019-2023","2020","Census","United States"
"City","Gulf Shores","AL","0132272","=""0132272""","73873","2019-2023","2020","Census","United States"
"City","Guntersville","AL","0132416","=""0132416""","67448","2019-2023","2020","Census","United States"
"City","Gurley","AL","0132440","=""0132440""","55000","2019-2023","2020","Census","United States"
"City","Gu-Win","AL","0132536","=""0132536""","41250","2019-2023","2020","Census","United States"
"City","Hackleburg","AL","0132560","=""0132560""","43854","2019-2023","2020","Census","United States"
"City","Hackneyville","AL","0132584","=""0132584""","72045","2019-2023","2020","Census","United States"
"City","Haleburg","AL","0132656","=""0132656""","N/A","2019-2023","2020","Census","United States"
"City","Haleyville","AL","0132704","=""0132704""","40538","2019-2023","2020","Census","United States"
"City","Hamilton","AL","0132848","=""0132848""","53714","2019-2023","2020","Census","United States"
"City","Hammondville","AL","0132896","=""0132896""","50536","2019-2023","2020","Census","United States"
"City","Hanceville","AL","0132968","=""0132968""","39894","2019-2023","2020","Census","United States"
"City","Hanover","AL","0133064","=""0133064""","105429","2019-2023","2020","Census","United States"
"City","Harpersville","AL","0133256","=""0133256""","72941","2019-2023","2020","Census","United States"
"City","Hartford","AL","0133424","=""0133424""","54286","2019-2023","2020","Census","United States"
"City","Hartselle","AL","0133448","=""0133448""","67863","2019-2023","2020","Census","United States"
"City","Harvest","AL","0133472","=""0133472""","99542","2019-2023","2020","Census","United States"
"City","Hatton","AL","0133544","=""0133544""","N/A","2019-2023","2020","Census","United States"
"City","Hayden","AL","0133640","=""0133640""","80625","2019-2023","2020","Census","United States"
"City","Hayneville","AL","0133712","=""0133712""","30714","2019-2023","2020","Census","United States"
"City","Hazel Green","AL","0133808","=""0133808""","90654","2019-2023","2020","Census","United States"
"City","Headland","AL","0133856","=""0133856""","82736","2019-2023","2020","Census","United States"
"City","Heath","AL","0133904","=""0133904""","63463","2019-2023","2020","Census","United States"
"City","Heflin","AL","0133976","=""0133976""","46569","2019-2023","2020","Census","United States"
"City","Helena","AL","0134024","=""0134024""","109590","2019-2023","2020","Census","United States"
"City","Henagar","AL","0134096","=""0134096""","44922","2019-2023","2020","Census","United States"
"City","Highland Lake","AL","0134480","=""0134480""","65625","2019-2023","2020","Census","United States"
"City","Highland Lakes","AL","0134490","=""0134490""","169833","2019-2023","2020","Census","United States"
"City","Hillsboro","AL","0134816","=""0134816""","59359","2019-2023","2020","Census","United States"
"City","Hissop","AL","0134984","=""0134984""","63223","2019-2023","2020","Census","United States"
"City","Hobson","AL","0135130","=""0135130""","N/A","2019-2023","2020","Census","United States"
"City","Hobson City","AL","0135152","=""0135152""","35769","2019-2023","2020","Census","United States"
"City","Hodges","AL","0135200","=""0135200""","66875","2019-2023","2020","Census","United States"
"City","Hokes Bluff","AL","0135392","=""0135392""","81544","2019-2023","2020","Census","United States"
"City","Hollins","AL","0135512","=""0135512""","40550","2019-2023","2020","Census","United States"
"City","Hollis Crossroads","AL","0135536","=""0135536""","54135","2019-2023","2020","Census","United States"
"City","Holly Pond","AL","0135560","=""0135560""","45221","2019-2023","2020","Census","United States"
"City","Hollywood","AL","0135632","=""0135632""","55573","2019-2023","2020","Census","United States"
"City","Holt","AL","0135704","=""0135704""","46379","2019-2023","2020","Census","United States"
"City","Holtville","AL","0135752","=""0135752""","73250","2019-2023","2020","Census","United States"
"City","Homewood","AL","0135800","=""0135800""","108386","2019-2023","2020","Census","United States"
"City","Hoover","AL","0135896","=""0135896""","107822","2019-2023","2020","Census","United States"
"City","Horn Hill","AL","0136088","=""0136088""","58125","2019-2023","2020","Census","United States"
"City","Hueytown","AL","0136448","=""0136448""","62362","2019-2023","2020","Census","United States"
"City","Huguley","AL","0136592","=""0136592""","43736","2019-2023","2020","Census","United States"
"City","Huntsville","AL","0137000","=""0137000""","70778","2019-2023","2020","Census","United States"
"City","Hurtsboro","AL","0137096","=""0137096""","35781","2019-2023","2020","Census","United States"
"City","Hytop","AL","0137264","=""0137264""","70833","2019-2023","2020","Census","United States"
"City","Ider","AL","0137312","=""0137312""","42500","2019-2023","2020","Census","United States"
"City","Indian Springs Village","AL","0137465","=""0137465""","138250","2019-2023","2020","Census","United States"
"City","Irondale","AL","0137864","=""0137864""","71240","2019-2023","2020","Census","United States"
"City","Ivalee","AL","0138032","=""0138032""","38650","2019-2023","2020","Census","United States"
"City","Jackson","AL","0138152","=""0138152""","46250","2019-2023","2020","Census","United States"
"City","Jacksons' Gap","AL","0138248","=""0138248""","31667","2019-2023","2020","Census","United States"
"City","Jacksonville","AL","0138272","=""0138272""","47146","2019-2023","2020","Census","United States"
"City","Jasper","AL","0138416","=""0138416""","66250","2019-2023","2020","Census","United States"
"City","Jemison","AL","0138608","=""0138608""","54468","2019-2023","2020","Census","United States"
"City","Joppa","AL","0139064","=""0139064""","N/A","2019-2023","2020","Census","United States"
"City","Kansas","AL","0139280","=""0139280""","46875","2019-2023","2020","Census","United States"
"City","Kellyton","AL","0139472","=""0139472""","63750","2019-2023","2020","Census","United States"
"City","Kennedy","AL","0139520","=""0139520""","42031","2019-2023","2020","Census","United States"
"City","Killen","AL","0139784","=""0139784""","61422","2019-2023","2020","Census","United States"
"City","Kimberly","AL","0139856","=""0139856""","96190","2019-2023","2020","Census","United States"
"City","Kinsey","AL","0140072","=""0140072""","51042","2019-2023","2020","Census","United States"
"City","Kinston","AL","0140096","=""0140096""","36875","2019-2023","2020","Census","United States"
"City","Ladonia","AL","0140648","=""0140648""","52045","2019-2023","2020","Census","United States"
"City","La Fayette","AL","0140672","=""0140672""","32999","2019-2023","2020","Census","United States"
"City","Lakeview","AL","0140888","=""0140888""","48750","2019-2023","2020","Census","United States"
"City","Lake View","AL","0140928","=""0140928""","96409","2019-2023","2020","Census","United States"
"City","Lanett","AL","0141296","=""0141296""","42415","2019-2023","2020","Census","United States"
"City","Langston","AL","0141368","=""0141368""","51042","2019-2023","2020","Census","United States"
"City","Leeds","AL","0141968","=""0141968""","71672","2019-2023","2020","Census","United States"
"City","Leesburg","AL","0142016","=""0142016""","53472","2019-2023","2020","Census","United States"
"City","Leighton","AL","0142160","=""0142160""","33214","2019-2023","2020","Census","United States"
"City","Leroy","AL","0142304","=""0142304""","N/A","2019-2023","2020","Census","United States"
"City","Lester","AL","0142352","=""0142352""","77679","2019-2023","2020","Census","United States"
"City","Level Plains","AL","0142472","=""0142472""","64167","2019-2023","2020","Census","United States"
"City","Lexington","AL","0142640","=""0142640""","56354","2019-2023","2020","Census","United States"
"City","Libertyville","AL","0142808","=""0142808""","81042","2019-2023","2020","Census","United States"
"City","Lillian","AL","0142928","=""0142928""","65313","2019-2023","2020","Census","United States"
"City","Lincoln","AL","0143120","=""0143120""","60793","2019-2023","2020","Census","United States"
"City","Linden","AL","0143240","=""0143240""","30313","2019-2023","2020","Census","United States"
"City","Lineville","AL","0143264","=""0143264""","37396","2019-2023","2020","Census","United States"
"City","Lipscomb","AL","0143336","=""0143336""","45792","2019-2023","2020","Census","United States"
"City","Lisman","AL","0143384","=""0143384""","42109","2019-2023","2020","Census","United States"
"City","Littleville","AL","0143648","=""0143648""","48977","2019-2023","2020","Census","United States"
"City","Livingston","AL","0143720","=""0143720""","24491","2019-2023","2020","Census","United States"
"City","Loachapoka","AL","0143744","=""0143744""","47250","2019-2023","2020","Census","United States"
"City","Lockhart","AL","0143816","=""0143816""","36964","2019-2023","2020","Census","United States"
"City","Locust Fork","AL","0143888","=""0143888""","42045","2019-2023","2020","Census","United States"
"City","Lookout Mountain","AL","0144160","=""0144160""","43472","2019-2023","2020","Census","United States"
"City","Louisville","AL","0144344","=""0144344""","43886","2019-2023","2020","Census","United States"
"City","Lowndesboro","AL","0144536","=""0144536""","68625","2019-2023","2020","Census","United States"
"City","Loxley","AL","0144608","=""0144608""","85250","2019-2023","2020","Census","United States"
"City","Luverne","AL","0144728","=""0144728""","51537","2019-2023","2020","Census","United States"
"City","Lynn","AL","0144800","=""0144800""","41811","2019-2023","2020","Census","United States"
"City","McCalla","AL","0145040","=""0145040""","83782","2019-2023","2020","Census","United States"
"City","McDonald Chapel","AL","0145208","=""0145208""","59556","2019-2023","2020","Census","United States"
"City","Macedonia","AL","0145316","=""0145316""","N/A","2019-2023","2020","Census","United States"
"City","McIntosh","AL","0145472","=""0145472""","81094","2019-2023","2020","Census","United States"
